player_id,name,nation,position
player_niclas_fullkrug,Niclas Füllkrug,GER,FW
player_el_hadji_malick_diouf,El Hadji Malick Diouf,SEN,DF
player_konstantinos_mavropanos,Konstantinos Mavropanos,GRE,DF
player_luis_guilherme,Luis Guilherme,BRA,MF
player_mateus_fernandes,Mateus Fernandes,POR,MF
player_jarrod_bowen_captain,Jarrod Bowen (captain),ENG,FW
player_lukasz_fabianski,Łukasz Fabiański,POL,GK
player_alphonse_areola,Alphonse Areola,FRA,GK
player_guido_rodriguez,Guido Rodríguez,ARG,MF
player_jean_clair_todibo,Jean-Clair Todibo,FRA,DF
player_soungoutou_magassa,Soungoutou Magassa,FRA,MF
player_tomas_soucek,Tomáš Souček,CZE,MF
player_aaron_wan_bissaka,Aaron Wan-Bissaka,COD,DF
player_oliver_scarles,Oliver Scarles,ENG,DF
player_freddie_potts,Freddie Potts,ENG,MF
player_andy_irving,Andy Irving,SCO,MF
player_george_earthy,George Earthy,ENG,MF
player_callum_marshall,Callum Marshall,NIR,FW
player_guglielmo_vicario,Guglielmo Vicario,ITA,GK
player_radu_dragusin,Radu Drăgușin,ROU,DF
player_kevin_danso,Kevin Danso,AUT,DF
player_joao_palhinha_on_loan_from_bayern_munich,João Palhinha (on loan from Bayern Munich),POR,MF
player_xavi_simons,Xavi Simons,NED,MF
player_yves_bissouma,Yves Bissouma,MLI,MF
player_richarlison,Richarlison,BRA,FW
player_james_maddison_vice_captain,James Maddison (vice-captain),ENG,MF
player_mathys_tel,Mathys Tel,FRA,FW
player_destiny_udogie,Destiny Udogie,ITA,DF
player_archie_gray,Archie Gray,ENG,MF
player_lucas_bergvall,Lucas Bergvall,SWE,MF
player_cristian_romero_captain,Cristian Romero (captain),ARG,DF
player_dominic_solanke,Dominic Solanke,ENG,FW
player_mohammed_kudus,Mohammed Kudus,GHA,FW
player_dejan_kulusevski,Dejan Kulusevski,SWE,FW
player_brennan_johnson,Brennan Johnson,WAL,FW
player_pedro_porro,Pedro Porro,ESP,DF
player_djed_spence,Djed Spence,ENG,DF
player_kota_takai,Kōta Takai,JPN,DF
player_wilson_odobert,Wilson Odobert,FRA,FW
player_pape_matar_sarr,Pape Matar Sarr,SEN,MF
player_rodrigo_bentancur,Rodrigo Bentancur,URU,MF
player_antonin_kinsky,Antonín Kinský,CZE,GK
player_ben_davies,Ben Davies,WAL,DF
player_micky_van_de_ven,Micky van de Ven,NED,DF
player_randal_kolo_muani_on_loan_from_paris_saint_germain,Randal Kolo Muani (on loan from Paris Saint-Germain),FRA,FW
player_brandon_austin,Brandon Austin,USA,GK
player_dane_scarlett,Dane Scarlett,ENG,FW
player_alex_mccarthy,Alex McCarthy,ENG,GK
player_mads_roerslev,Mads Roerslev,DEN,DF
player_ryan_manning,Ryan Manning,IRL,DF
player_flynn_downes,Flynn Downes,ENG,MF
player_jack_stephens_captain,Jack Stephens (captain),ENG,DF
player_taylor_harwood_bellis,Taylor Harwood-Bellis,ENG,DF
player_joe_aribo,Joe Aribo,NGA,MF
player_adam_armstrong,Adam Armstrong,ENG,FW
player_finn_azaz,Finn Azaz,IRL,MF
player_ross_stewart,Ross Stewart,SCO,FW
player_ronnie_edwards,Ronnie Edwards,ENG,DF
player_leo_scienza,Léo Scienza,BRA,MF
player_nathan_wood,Nathan Wood,ENG,DF
player_joshua_quarshie,Joshua Quarshie,GER,DF
player_tom_fellows,Tom Fellows,ENG,FW
player_cameron_archer,Cameron Archer,ENG,FW
player_caspar_jander,Caspar Jander,GER,MF
player_samuel_edozie,Samuel Edozie,ENG,MF
player_shea_charles,Shea Charles,NIR,MF
player_george_long_on_loan_from_norwich_city,George Long (on loan from Norwich City),ENG,GK
player_ryan_fraser,Ryan Fraser,SCO,MF
player_kuryu_matsuki,Kuryu Matsuki,JPN,MF
player_gavin_bazunu,Gavin Bazunu,IRL,GK
player_welington,Welington,BRA,DF
player_elias_jelert_on_loan_from_galatasaray,Elias Jelert (on loan from Galatasaray),DEN,DF
player_damion_downs,Damion Downs,USA,FW
player_jay_robinson,Jay Robinson,ENG,FW
player_moses_sesay,Moses Sesay,ENG,MF
player_dylan_moody,Dylan Moody,ENG,GK
player_nick_pope,Nick Pope,ENG,GK
player_kieran_trippier_vice_captain,Kieran Trippier (vice-captain),ENG,DF
player_lewis_hall,Lewis Hall,ENG,DF
player_sven_botman,Sven Botman,NED,DF
player_fabian_schar,Fabian Schär,SUI,DF
player_jamaal_lascelles_3rd_captain,Jamaal Lascelles (3rd captain),ENG,DF
player_joelinton,Joelinton,BRA,MF
player_sandro_tonali,Sandro Tonali,ITA,MF
player_yoane_wissa,Yoane Wissa,COD,FW
player_anthony_gordon,Anthony Gordon,ENG,FW
player_harvey_barnes,Harvey Barnes,ENG,FW
player_malick_thiaw,Malick Thiaw,GER,DF
player_emil_krafth,Emil Krafth,SWE,DF
player_william_osula,William Osula,DEN,FW
player_anthony_elanga,Anthony Elanga,SWE,FW
player_tino_livramento,Tino Livramento,ENG,DF
player_jacob_murphy,Jacob Murphy,ENG,MF
player_john_ruddy,John Ruddy,ENG,GK
player_nick_woltemade,Nick Woltemade,GER,FW
player_joe_willock,Joe Willock,ENG,MF
player_mark_gillespie,Mark Gillespie,ENG,GK
player_harrison_ashby,Harrison Ashby,SCO,DF
player_aaron_ramsdale_on_loan_from_southampton,Aaron Ramsdale (on loan from Southampton),ENG,GK
player_dan_burn,Dan Burn,ENG,DF
player_alex_murphy,Alex Murphy,IRL,DF
player_bruno_guimaraes_captain,Bruno Guimarães (captain),BRA,MF
player_jacob_ramsey,Jacob Ramsey,ENG,MF
player_lewis_miley,Lewis Miley,ENG,MF
player_altay_bayindir,Altay Bayındır,TUR,GK
player_diogo_dalot,Diogo Dalot,POR,DF
player_noussair_mazraoui,Noussair Mazraoui,MAR,DF
player_matthijs_de_ligt,Matthijs de Ligt,NED,DF
player_harry_maguire,Harry Maguire,ENG,DF
player_lisandro_martinez,Lisandro Martínez,ARG,DF
player_mason_mount,Mason Mount,ENG,MF
player_bruno_fernandes_captain,Bruno Fernandes (captain),POR,MF
