season_id,name,start_year,end_year,url
EPL-2024–25,2024–25 Premier League,2024,2025,https://en.wikipedia.org/wiki/2024–25_Premier_League
EPL-2023–24,2023–24 Premier League,2023,2024,https://en.wikipedia.org/wiki/2023–24_Premier_League
EPL-2022–23,2022–23 Premier League,2022,2023,https://en.wikipedia.org/wiki/2022–23_Premier_League
EPL-2021–22,2021–22 Premier League,2021,2022,https://en.wikipedia.org/wiki/2021–22_Premier_League
EPL-2020–21,2020–21 Premier League,2020,2021,https://en.wikipedia.org/wiki/2020–21_Premier_League
